protein,n,skew_raw,skew_log
BDNF/NT-3 growth factors receptor,154,4.384242446176152,1.20654893458322
"Malate dehydrogenase, cytoplasmic",154,3.685331309996484,1.251812861403307
Cystatin-SA,154,1.763526579001515,0.08396807086074683
Tyrosine-protein kinase BTK,154,1.6635722617359194,0.5380880475156873
Tyrosine-protein kinase Fer,154,1.6342420723239253,0.6104206429934657
Membrane frizzled-related protein,154,1.0796726332655546,0.337078955173639
Brain-specific serine protease 4,155,0.6363052970389895,-9.824629193391994
Dual specificity mitogen-activated protein kinase kinase 4,155,0.5678748720896929,-8.971628996688253
Complement component C6,155,-0.2667810576100209,-9.842813337690401
